t_rel_ns,kind,slot,value_deg
781318035,CMD,3,0.0000
787338205,CMD,0,5.0000
787338205,CMD,1,0.0000
787338205,CMD,2,0.0000
787338205,CMD,3,0.0000
793334912,CMD,0,5.0000
793334912,CMD,1,0.0000
793334912,CMD,2,0.0000
793334912,CMD,3,0.0000
799328019,CMD,0,5.0000
799328019,CMD,1,0.0000
799328019,CMD,2,0.0000
799328019,CMD,3,0.0000
805329917,CMD,0,5.0000
805329917,CMD,1,0.0000
805329917,CMD,2,0.0000
805329917,CMD,3,0.0000
811335451,CMD,0,5.0000
811335451,CMD,1,0.0000
811335451,CMD,2,0.0000
811335451,CMD,3,0.0000
817321988,CMD,0,5.0000
817321988,CMD,1,0.0000
817321988,CMD,2,0.0000
817321988,CMD,3,0.0000
823327515,CMD,0,5.0000
823327515,CMD,1,0.0000
823327515,CMD,2,0.0000
823327515,CMD,3,0.0000
829336053,CMD,0,5.0000
829336053,CMD,1,0.0000
829336053,CMD,2,0.0000
829336053,CMD,3,0.0000
837335382,CMD,0,5.0000
837335382,CMD,1,0.0000
837335382,CMD,2,0.0000
837335382,CMD,3,0.0000
843366398,CMD,0,5.0000
843366398,CMD,1,0.0000
843366398,CMD,2,0.0000
843366398,CMD,3,0.0000
849319424,CMD,0,5.0000
849319424,CMD,1,0.0000
849319424,CMD,2,0.0000
849319424,CMD,3,0.0000
855330442,CMD,0,5.0000
855330442,CMD,1,0.0000
855330442,CMD,2,0.0000
855330442,CMD,3,0.0000
861330966,CMD,0,5.0000
861330966,CMD,1,0.0000
861330966,CMD,2,0.0000
861330966,CMD,3,0.0000
867315159,CMD,0,5.0000
867315159,CMD,1,0.0000
867315159,CMD,2,0.0000
867315159,CMD,3,0.0000
873331943,CMD,0,5.0000
873331943,CMD,1,0.0000
873331943,CMD,2,0.0000
873331943,CMD,3,0.0000
879332942,CMD,0,5.0000
879332942,CMD,1,0.0000
879332942,CMD,2,0.0000
879332942,CMD,3,0.0000
885327397,CMD,0,5.0000
885327397,CMD,1,0.0000
885327397,CMD,2,0.0000
885327397,CMD,3,0.0000
891346095,CMD,0,5.0000
891346095,CMD,1,0.0000
891346095,CMD,2,0.0000
891346095,CMD,3,0.0000
897337742,CMD,0,5.0000
897337742,CMD,1,0.0000
897337742,CMD,2,0.0000
897337742,CMD,3,0.0000
903333812,CMD,0,5.0000
903333812,CMD,1,0.0000
903333812,CMD,2,0.0000
903333812,CMD,3,0.0000
909342660,CMD,0,5.0000
909342660,CMD,1,0.0000
909342660,CMD,2,0.0000
909342660,CMD,3,0.0000
915343586,CMD,0,5.0000
915343586,CMD,1,0.0000
915343586,CMD,2,0.0000
915343586,CMD,3,0.0000
921334552,CMD,0,5.0000
921334552,CMD,1,0.0000
921334552,CMD,2,0.0000
921334552,CMD,3,0.0000
927336418,CMD,0,5.0000
927336418,CMD,1,0.0000
927336418,CMD,2,0.0000
927336418,CMD,3,0.0000
933327448,CMD,0,5.0000
933327448,CMD,1,0.0000
933327448,CMD,2,0.0000
933327448,CMD,3,0.0000
939330850,CMD,0,5.0000
939330850,CMD,1,0.0000
939330850,CMD,2,0.0000
939330850,CMD,3,0.0000
945341678,CMD,0,5.0000
945341678,CMD,1,0.0000
945341678,CMD,2,0.0000
945341678,CMD,3,0.0000
951332359,CMD,0,5.0000
951332359,CMD,1,0.0000
951332359,CMD,2,0.0000
951332359,CMD,3,0.0000
957333176,CMD,0,5.0000
957333176,CMD,1,0.0000
957333176,CMD,2,0.0000
957333176,CMD,3,0.0000
966337502,CMD,0,5.0000
966337502,CMD,1,0.0000
966337502,CMD,2,0.0000
966337502,CMD,3,0.0000
972353096,CMD,0,5.0000
972353096,CMD,1,0.0000
972353096,CMD,2,0.0000
972353096,CMD,3,0.0000
978354220,CMD,0,5.0000
978354220,CMD,1,0.0000
978354220,CMD,2,0.0000
978354220,CMD,3,0.0000
984330354,CMD,0,5.0000
984330354,CMD,1,0.0000
984330354,CMD,2,0.0000
984330354,CMD,3,0.0000
990333119,CMD,0,5.0000
990333119,CMD,1,0.0000
990333119,CMD,2,0.0000
990333119,CMD,3,0.0000
996333889,CMD,0,5.0000
996333889,CMD,1,0.0000
996333889,CMD,2,0.0000
996333889,CMD,3,0.0000
1002343443,CMD,0,5.0000
1002343443,CMD,1,0.0000
1002343443,CMD,2,0.0000
1002343443,CMD,3,0.0000
1008341767,CMD,0,5.0000
1008341767,CMD,1,0.0000
1008341767,CMD,2,0.0000
1008341767,CMD,3,0.0000
1014340656,CMD,0,5.0000
1014340656,CMD,1,0.0000
1014340656,CMD,2,0.0000
1014340656,CMD,3,0.0000
1020364240,CMD,0,5.0000
1020364240,CMD,1,0.0000
1020364240,CMD,2,0.0000
1020364240,CMD,3,0.0000
1026344524,CMD,0,5.0000
1026344524,CMD,1,0.0000
1026344524,CMD,2,0.0000
1026344524,CMD,3,0.0000
1033321285,CMD,0,5.0000
1033321285,CMD,1,0.0000
1033321285,CMD,2,0.0000
1033321285,CMD,3,0.0000
1039329467,CMD,0,5.0000
1039329467,CMD,1,0.0000
1039329467,CMD,2,0.0000
1039329467,CMD,3,0.0000
1045341825,CMD,0,5.0000
1045341825,CMD,1,0.0000
1045341825,CMD,2,0.0000
1045341825,CMD,3,0.0000
1051329406,CMD,0,5.0000
1051329406,CMD,1,0.0000
1051329406,CMD,2,0.0000
1051329406,CMD,3,0.0000
1056337237,CMD,0,5.0000
1056337237,CMD,1,0.0000
1056337237,CMD,2,0.0000
1056337237,CMD,3,0.0000
1062325519,CMD,0,5.0000
1062325519,CMD,1,0.0000
1062325519,CMD,2,0.0000
1062325519,CMD,3,0.0000
1068334654,CMD,0,5.0000
1068334654,CMD,1,0.0000
1068334654,CMD,2,0.0000
1068334654,CMD,3,0.0000
1074327054,CMD,0,5.0000
1074327054,CMD,1,0.0000
1074327054,CMD,2,0.0000
1074327054,CMD,3,0.0000
1080340713,CMD,0,5.0000
1080340713,CMD,1,0.0000
1080340713,CMD,2,0.0000
1080340713,CMD,3,0.0000
1086341891,CMD,0,5.0000
1086341891,CMD,1,0.0000
1086341891,CMD,2,0.0000
1086341891,CMD,3,0.0000
1094351852,CMD,0,5.0000
1094351852,CMD,1,0.0000
1094351852,CMD,2,0.0000
1094351852,CMD,3,0.0000
1102342042,CMD,0,5.0000
1102342042,CMD,1,0.0000
1102342042,CMD,2,0.0000
1102342042,CMD,3,0.0000
1108336938,CMD,0,5.0000
1108336938,CMD,1,0.0000
1108336938,CMD,2,0.0000
1108336938,CMD,3,0.0000
1114335400,CMD,0,5.0000
1114335400,CMD,1,0.0000
1114335400,CMD,2,0.0000
1114335400,CMD,3,0.0000
1120334475,CMD,0,5.0000
1120334475,CMD,1,0.0000
1120334475,CMD,2,0.0000
1120334475,CMD,3,0.0000
1126336635,CMD,0,5.0000
1126336635,CMD,1,0.0000
1126336635,CMD,2,0.0000
1126336635,CMD,3,0.0000
1132331590,CMD,0,5.0000
1132331590,CMD,1,0.0000
1132331590,CMD,2,0.0000
1132331590,CMD,3,0.0000
1138332518,CMD,0,5.0000
1138332518,CMD,1,0.0000
1138332518,CMD,2,0.0000
1138332518,CMD,3,0.0000
1144338789,CMD,0,5.0000
1144338789,CMD,1,0.0000
1144338789,CMD,2,0.0000
1144338789,CMD,3,0.0000
1150329473,CMD,0,5.0000
1150329473,CMD,1,0.0000
1150329473,CMD,2,0.0000
1150329473,CMD,3,0.0000
1156338533,CMD,0,5.0000
1156338533,CMD,1,0.0000
1156338533,CMD,2,0.0000
1156338533,CMD,3,0.0000
1162333396,CMD,0,5.0000
1162333396,CMD,1,0.0000
1162333396,CMD,2,0.0000
1162333396,CMD,3,0.0000
1168332430,CMD,0,5.0000
1168332430,CMD,1,0.0000
1168332430,CMD,2,0.0000
1168332430,CMD,3,0.0000
1174338624,CMD,0,5.0000
1174338624,CMD,1,0.0000
1174338624,CMD,2,0.0000
1174338624,CMD,3,0.0000
1180348746,CMD,0,5.0000
1180348746,CMD,1,0.0000
