t_wall_s,mhe_solve_us,mpc_solve_us,cycle_us
44.917297,0,0,147
44.968214,0,0,9
45.014518,0,0,95
45.048636,0,0,11
45.094014,0,0,302
45.134464,0,0,86
45.180097,0,0,15
45.216203,0,0,77
45.253973,0,0,14
45.307455,0,0,14
45.350064,0,0,13
45.388476,0,0,401
45.408520,0,0,358
45.467785,0,0,95
45.512483,0,0,128
45.555386,0,0,413
45.588500,0,0,248
45.614591,0,0,12
45.654825,0,0,247
45.698891,0,0,59
45.734858,0,0,15
45.781448,0,0,220
45.815207,0,0,77
45.853580,0,0,96
45.907155,0,0,182
45.945949,0,0,61
45.974408,0,0,14
46.014156,0,0,15
46.053627,0,0,97
46.098336,0,0,97
46.117927,0,0,60
46.154272,0,0,204
46.193599,0,0,13
46.234734,0,0,16
46.274975,0,0,75
46.316995,0,0,115
46.356007,0,0,12
46.394546,0,0,12
46.410036,0,0,95
46.479078,0,0,547
46.513843,0,0,15
46.555331,0,0,12
46.598822,0,0,95
46.634533,0,0,12
46.678957,0,0,18
46.728670,0,0,18
46.767501,0,0,64
46.815630,0,0,1301
46.854563,0,0,176
46.879045,0,0,68
46.915412,0,0,93
46.975373,0,0,510
47.014513,0,0,75
47.053772,0,0,151
47.093530,0,0,15
47.134350,0,0,58
47.180174,0,0,11
47.215300,0,0,224
47.234449,0,0,288
47.279662,0,0,110
47.314430,0,0,124
47.367815,0,0,98
47.409035,0,0,14
47.450074,0,0,283
47.488197,0,0,83
47.530121,0,0,95
47.567360,0,0,99
47.589691,0,0,227
47.634266,0,0,82
47.680546,0,0,111
47.714018,0,0,103
47.755191,0,0,102
47.794284,0,0,59
47.816133,0,0,58
47.854349,0,0,275
47.898411,0,0,14
47.934502,0,0,18
47.980168,0,0,11
48.016196,0,0,112
48.054225,0,0,78
48.099520,0,0,85
48.145941,0,0,150
48.183073,0,0,16
48.229223,0,0,294
48.267868,0,0,80
48.299205,0,0,58
48.346027,0,0,65
48.379066,0,0,84
48.407576,0,0,153
48.407576,0,0,222
48.467844,0,0,106
48.509835,0,0,60
48.546184,0,0,11
48.580744,0,0,168
48.614942,0,0,16
48.653955,0,0,15
48.707638,0,0,224
48.750008,0,0,14
48.788246,0,0,272
48.835011,0,0,95
48.874861,0,0,14
48.914529,0,0,78
48.969392,0,0,267
48.999155,0,0,574
49.034057,0,0,110
49.075494,0,0,84
49.115263,0,0,376
49.153962,0,0,18
49.194481,0,0,177
49.233957,0,0,306
49.255088,0,0,85
